sequence,arm,started_at_ms,t_request_ms,t_ready_ms,session_age_ms,error
144,B,24333.0,100.692,100.067,100.068,
145,A,24568.9,150.336,0.000,0.000,
146,A,24755.0,140.249,0.000,0.000,
147,C,24927.5,0.292,97.735,97.735,
148,B,25060.9,0.626,100.064,100.064,
149,C,25193.5,0.366,96.293,96.293,
150,B,25321.9,0.535,100.065,100.065,
151,A,25454.1,150.557,0.000,0.000,
152,C,25637.8,0.449,105.163,105.164,
153,B,25776.1,0.531,100.065,100.065,
154,B,25907.9,0.826,100.068,100.068,
155,A,26040.9,152.027,0.000,0.000,
156,A,26228.3,152.687,0.000,0.000,
157,C,26414.9,0.449,94.472,94.472,
158,B,26541.1,0.581,100.063,100.064,
159,B,26675.7,0.521,100.063,100.064,
160,C,26807.3,0.328,90.677,90.678,
161,C,26928.9,0.321,90.429,90.429,
162,B,27050.8,100.842,100.065,100.065,
163,B,27284.0,0.520,100.062,100.062,
164,B,27419.2,100.820,100.067,100.067,
165,C,27652.2,0.426,94.507,94.507,
166,B,27781.0,0.636,100.067,100.068,
167,A,27912.8,164.994,0.000,0.000,
168,A,28111.4,165.275,0.000,0.001,
169,C,28311.1,0.280,93.741,93.741,
170,C,28436.1,0.366,95.813,95.813,
171,A,28562.9,150.594,0.000,0.000,
172,B,28745.6,0.730,100.073,100.073,
173,C,28880.3,0.450,98.177,98.177,
174,B,29013.1,0.779,100.067,100.068,
175,B,29149.6,0.596,100.067,100.068,
176,A,29285.4,155.871,0.000,0.000,
177,B,29474.0,0.612,100.071,100.072,
178,A,29612.4,159.522,0.000,0.000,
179,C,29807.8,0.335,88.385,88.385,
180,C,29928.9,41.854,93.856,93.856,
181,A,30095.5,157.763,0.000,0.000,
182,A,30284.4,159.749,0.000,0.000,
183,B,30480.5,0.640,100.064,100.065,
184,B,30614.3,1.053,100.068,100.069,
185,C,30747.2,0.452,102.215,102.216,
186,A,30882.1,158.118,0.000,0.001,
187,A,31072.6,154.079,0.000,0.000,
188,B,31263.8,100.595,100.065,100.066,
189,A,31496.1,157.825,0.000,0.000,
190,B,31684.7,100.867,100.066,100.066,
191,C,31916.7,0.367,99.220,99.220,
192,A,32054.1,177.864,0.000,0.000,
193,A,32266.6,152.150,0.000,0.000,
194,B,32457.5,0.518,100.063,100.064,
195,C,32593.8,0.470,93.796,93.797,
196,A,32724.1,155.157,0.000,0.000,
197,A,32918.1,153.106,0.000,0.000,
198,C,33104.7,100.432,93.745,93.745,
199,A,33335.1,149.750,0.000,0.000,
200,B,33517.9,0.554,100.062,100.062,
201,C,33656.1,100.429,113.176,113.176,
202,B,33903.0,0.626,100.064,100.065,
203,A,34039.6,153.321,0.000,0.000,
204,C,34226.6,0.368,88.157,88.157,
205,B,34347.1,100.738,100.064,100.064,
206,C,34579.0,100.421,90.565,90.566,
207,B,34803.0,0.439,100.061,100.061,
208,C,34934.4,0.429,96.470,96.470,
209,B,35065.0,0.471,100.063,100.063,
210,B,35200.5,100.896,100.064,100.064,
211,A,35434.3,148.454,0.000,0.000,
212,A,35616.1,150.894,0.000,0.000,
213,B,35799.0,0.578,100.065,100.065,
214,B,35933.1,0.588,100.068,100.068,
215,A,36066.9,151.449,0.000,0.000,
216,C,36250.0,0.339,93.210,93.210,
217,A,36378.1,155.193,0.000,0.000,
218,C,36564.1,0.463,99.529,99.529,
219,C,36700.1,0.464,91.968,91.968,
220,A,36828.1,159.931,0.000,0.000,
221,C,37021.5,0.424,106.678,106.678,
222,C,37164.1,0.394,97.947,97.947,
223,A,37296.0,150.091,0.000,0.000,
224,C,37477.5,0.394,92.233,92.233,
225,A,37604.3,148.272,0.000,0.001,
226,B,37783.1,0.579,100.062,100.063,
227,B,37915.9,100.894,100.071,100.071,
228,B,38147.8,1375.922,100.070,100.070,
229,A,39659.6,164.326,0.000,0.000,
230,A,39855.9,152.050,0.000,0.000,
231,C,40044.4,0.262,101.087,101.087,
232,B,40181.8,0.476,100.068,100.068,
233,C,40312.9,0.303,100.832,100.832,
234,C,40446.9,0.405,97.596,97.597,
235,C,40581.0,0.330,98.918,98.918,
236,C,40711.8,0.316,98.353,98.353,
237,A,40842.0,152.207,0.000,0.000,
238,C,41026.5,140.787,91.964,91.964,
239,A,41290.6,155.506,0.000,0.000,
240,C,41479.3,0.557,108.095,108.095,
241,C,41620.3,0.419,99.804,99.805,
242,C,41752.1,0.544,95.260,95.260,
243,B,41879.2,0.549,100.066,100.067,
244,B,42016.1,100.578,100.061,100.062,
245,C,42248.8,0.351,94.273,94.273,
246,B,42376.9,0.523,100.061,100.062,
247,A,42507.8,153.015,0.000,0.000,
248,A,42691.8,154.351,0.000,0.000,
249,C,42880.3,0.353,98.122,98.123,
250,C,43012.8,0.380,89.015,89.015,
251,B,43134.0,0.612,100.062,100.062,
252,C,43269.6,0.425,83.516,83.516,
253,C,43388.0,0.457,97.274,97.275,
254,A,43519.1,154.513,0.000,0.000,
255,C,43707.0,0.332,90.381,90.381,
256,C,43829.9,0.305,93.685,93.685,
257,C,43954.9,100.415,96.048,96.048,
258,A,44183.0,153.128,0.000,0.000,
259,B,44372.7,100.913,100.067,100.067,
260,C,44605.8,100.578,97.134,97.135,
261,C,44840.4,0.400,96.021,96.021,
262,C,44972.0,100.499,97.662,97.662,
263,A,45206.3,147.838,0.000,0.000,
264,B,45387.7,0.634,100.064,100.065,
265,A,45522.4,159.208,0.000,0.000,
266,A,45714.2,158.204,0.000,0.000,
267,A,45905.2,158.351,0.000,0.000,
268,C,46099.6,0.424,107.060,107.061,
269,C,46242.0,0.444,94.630,94.631,
270,B,46369.0,0.876,100.065,100.066,
271,C,46504.7,0.483,103.318,103.318,
272,B,46642.1,0.522,100.063,100.064,
273,A,46774.9,155.291,0.000,0.001,
274,B,46963.1,101.017,100.066,100.067,
275,B,47195.7,100.868,100.075,100.076,
276,C,47428.0,0.458,91.226,91.226,
277,A,47556.1,155.232,0.000,0.000,
278,B,47744.8,100.882,100.072,100.072,
279,C,47978.1,0.486,100.895,100.896,
280,A,48115.2,155.730,0.000,0.000,
281,A,48304.6,158.774,0.000,0.001,
282,A,48498.5,156.202,0.000,0.000,
283,A,48685.1,151.752,0.000,0.000,
284,A,48868.5,162.610,0.000,0.000,
285,C,49063.7,100.520,92.897,92.897,
286,C,49293.1,0.237,103.766,103.766,
287,B,49432.8,0.753,100.067,100.067,
288,A,49565.0,154.187,0.000,0.000,
289,A,49754.1,161.713,0.000,0.001,
290,C,49948.6,0.337,90.775,90.775,
291,A,50074.8,152.868,0.000,0.000,
292,C,50258.6,0.283,90.707,90.708,
293,B,50381.8,100.812,100.067,100.067,
294,A,50613.4,163.676,0.000,0.000,
295,C,50815.5,100.537,103.466,103.466,
296,B,51050.2,0.459,100.067,100.067,
297,C,51185.4,0.484,94.778,94.779,
298,A,51312.1,150.467,0.000,0.000,
299,B,51494.7,0.603,100.058,100.058,
