sequence,arm,started_at_ms,t_request_ms,t_ready_ms,session_age_ms,error
144,B,25205.6,100.865,100.065,100.065,
145,A,25439.7,159.478,0.000,0.000,
146,B,25632.4,100.799,100.067,100.067,
147,A,25868.3,157.703,0.000,0.000,
148,A,26058.0,200.100,0.000,0.000,
149,A,26289.9,156.280,0.000,0.000,
150,B,26478.6,0.587,100.063,100.063,
151,C,26613.8,0.262,100.389,100.389,
152,B,26749.1,100.896,100.067,100.068,
153,C,26981.3,0.264,95.870,95.871,
154,A,27110.1,159.182,0.000,0.000,
155,B,27301.7,100.832,100.068,100.069,
156,A,27539.2,159.484,0.000,0.000,
157,A,27730.3,161.662,0.000,0.000,
158,B,27928.0,100.872,100.070,100.071,
159,B,28161.0,100.892,100.064,100.065,
160,A,28393.6,152.234,0.000,0.000,
161,C,28581.2,100.477,104.683,104.683,
162,A,28818.5,196.692,0.000,0.000,
163,C,29052.4,42.989,158.456,158.457,
164,C,29294.0,140.847,184.991,184.991,
165,A,29662.9,157.200,0.000,0.001,
166,A,29855.9,151.110,0.000,0.000,
167,C,30039.2,0.327,127.931,127.932,
168,C,30199.3,0.429,95.407,95.408,
169,C,30326.4,0.363,97.008,97.008,
170,B,30455.3,0.632,100.062,100.062,
171,A,30588.5,155.863,0.000,0.000,
172,C,30779.5,0.314,121.210,121.211,
173,B,30934.4,101.739,100.023,100.023,
174,A,31173.6,166.208,0.000,0.000,
175,C,31381.4,100.540,108.506,108.506,
176,A,31622.6,157.667,0.000,0.001,
177,C,31813.9,0.339,125.250,125.251,
178,C,31976.3,0.389,101.132,101.133,
179,C,32114.3,100.498,95.789,95.789,
180,C,32342.5,100.532,135.758,135.758,
181,C,32615.6,0.424,107.314,107.314,
182,C,32759.4,0.344,102.305,102.305,
183,A,32894.4,168.515,0.000,0.000,
184,A,33097.4,159.928,0.000,0.000,
185,A,33289.9,165.406,0.000,0.000,
186,C,33487.6,0.473,96.537,96.538,
187,B,33616.6,100.797,100.072,100.073,
188,B,33851.4,0.544,100.062,100.062,
189,C,33984.5,0.269,99.338,99.338,
190,B,34116.3,0.735,100.065,100.066,
191,C,34251.7,100.445,100.063,100.064,
192,C,34485.6,0.462,99.751,99.751,
193,A,34619.5,159.332,0.000,0.000,
194,B,34811.0,0.712,100.067,100.067,
